customer_id,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0148-DCDOS,1,1,0,0,0,0,1,1,1,Fiber Optic
0151-ONTOV,1,1,0,0,0,0,0,0,0,Fiber Optic
0156-FVPTA,1,1,1,0,0,1,0,0,0,DSL
0164-APGRB,1,1,1,1,1,1,1,1,1,Fiber Optic
0164-XAIRP,1,0,0,0,0,0,0,0,0,Sin servicio
0168-XZKBB,1,1,0,0,0,0,1,0,0,Fiber Optic
0174-QRVVY,1,0,0,0,0,0,0,0,0,Sin servicio
0177-PXBAT,1,1,1,0,1,1,1,1,0,Fiber Optic
0178-CIIKR,1,0,0,0,0,0,0,0,0,Sin servicio
0178-SZBHO,1,1,0,1,0,0,1,0,0,Fiber Optic
0181-RITDD,1,1,1,1,1,1,1,1,1,Fiber Optic
0186-CAERR,1,1,1,1,1,1,1,1,1,Fiber Optic
0187-QSXOE,1,1,0,0,0,0,1,1,1,Fiber Optic
0187-WZNAB,1,1,1,0,0,0,0,0,0,Fiber Optic
0188-GWFLE,1,0,0,0,0,0,0,0,0,Sin servicio
0191-EQUUH,0,1,1,0,0,1,0,0,0,Cable
0191-ZHSKZ,1,1,1,1,0,0,1,1,0,DSL
0193-ESZXP,1,1,1,1,0,1,1,1,1,Fiber Optic
0195-IESCP,1,1,0,0,0,0,0,1,1,Fiber Optic
0196-JTUQI,1,1,0,0,0,0,0,0,0,Fiber Optic
0196-VULGZ,1,1,0,0,0,0,0,1,0,Fiber Optic
0197-PNKNK,1,1,1,0,1,0,0,0,0,Fiber Optic
0201-MIBOL,1,1,1,0,0,0,1,1,1,Fiber Optic
0201-OAMXR,1,1,1,1,1,1,1,1,1,Fiber Optic
0203-HHYIJ,1,0,0,0,0,0,0,0,0,Sin servicio
0206-OYVOC,1,0,0,0,0,0,0,0,0,Sin servicio
0206-TBWLC,1,1,1,1,1,1,1,1,1,Fiber Optic
0207-MDKNV,1,1,1,0,1,1,1,1,1,Fiber Optic
0208-BPQEJ,1,0,0,0,0,0,0,0,0,Sin servicio
0212-ISBBF,0,1,0,1,0,0,1,1,1,Cable
0214-JHPFW,0,1,0,1,1,1,1,1,1,Cable
0215-BQKGS,1,1,1,1,1,0,0,0,0,Fiber Optic
0218-QNVAS,1,1,0,1,0,0,1,1,1,Fiber Optic
0219-QAERP,1,0,0,0,0,0,0,0,0,Sin servicio
0219-YTZUE,1,1,0,1,1,0,0,0,1,Fiber Optic
0220-EBGCE,1,1,0,0,1,0,0,1,1,Fiber Optic
0221-NAUXK,1,0,0,0,0,0,0,0,0,Sin servicio
0221-WMXNQ,1,1,1,0,0,0,0,0,0,Fiber Optic
0222-CNVPT,0,1,1,0,0,0,1,1,1,DSL
0224-HJAPT,1,1,0,0,0,0,0,0,1,Cable
0224-NIJLP,1,0,0,0,0,0,0,0,0,Sin servicio
0224-RLWWD,1,1,0,0,0,0,0,0,0,Cable
0225-ZORZP,1,1,0,1,0,0,0,1,1,Fiber Optic
0228-MAUWC,1,1,0,0,1,1,0,0,0,DSL
0229-LFJAF,1,1,1,1,1,1,0,0,0,DSL
0230-UBYPQ,0,1,1,0,0,1,0,0,0,DSL
0230-WEQUW,0,1,1,1,1,1,1,0,0,DSL
0231-LXVAP,1,1,0,0,0,1,0,0,0,Fiber Optic
0233-FTHAV,1,1,0,0,1,0,0,0,0,Fiber Optic
0234-TEVTT,0,1,1,0,1,0,0,1,1,DSL
0235-KGSLC,1,1,0,0,1,0,1,0,0,Fiber Optic
0236-HFWSV,1,1,0,0,0,0,1,1,1,Fiber Optic
0237-YFUTL,1,1,1,1,0,1,1,1,1,Fiber Optic
0238-WHBIQ,1,1,1,1,1,1,1,1,1,Cable
0239-OXEXL,1,1,1,1,0,0,0,0,0,Fiber Optic
0244-LGNFY,1,1,1,1,1,1,1,1,1,DSL
0247-SLUJI,1,0,0,0,0,0,0,0,0,Sin servicio
0248-IPDFW,1,1,0,0,0,0,0,0,0,Cable
0248-PGHBZ,1,1,1,1,0,1,1,0,0,Fiber Optic
0253-ZTEOB,1,1,0,1,0,1,1,1,1,DSL
0254-FNMCI,1,1,1,1,1,1,1,1,1,Fiber Optic
0254-KCJGT,1,1,1,1,1,1,0,1,1,Cable
0254-WWRKD,1,1,0,1,0,0,0,0,0,Cable
0256-LTHVJ,1,1,0,0,0,0,0,1,1,Fiber Optic
0257-KXZGU,1,1,0,1,1,0,0,0,1,DSL
0257-ZESQC,1,1,1,0,0,0,0,0,0,Cable
0258-NOKBL,1,1,0,1,1,0,0,1,1,Fiber Optic
0259-GBZSH,1,1,0,0,0,0,1,0,1,Cable
0260-ZDLGK,1,1,0,0,1,1,1,1,1,Cable
0263-FJTQO,1,1,1,0,0,1,1,0,0,Cable
0264-CNITK,1,0,0,0,0,0,0,0,0,Sin servicio
0265-EDXBD,1,1,0,0,0,0,0,0,0,Fiber Optic
0265-PSUAE,1,1,1,0,1,0,1,1,1,Fiber Optic
0266-CLZKZ,1,1,0,0,1,1,1,1,1,Fiber Optic
0266-GMEAO,1,1,1,1,1,1,1,1,1,Fiber Optic
0268-QKIWO,1,0,0,0,0,0,0,0,0,Sin servicio
0269-XFESX,1,0,0,0,0,0,0,0,0,Sin servicio
0270-THENM,1,1,1,1,1,1,0,0,0,DSL
0274-JKUJR,0,1,1,1,1,0,1,1,1,Cable
0277-BKSQP,1,1,0,0,0,0,1,0,0,DSL
0277-ORXQS,0,1,0,0,0,1,1,1,1,Cable
0278-YXOOG,1,0,0,0,0,0,0,0,0,Sin servicio
0280-XJGEX,1,1,0,1,1,0,1,1,1,Fiber Optic
0281-CNTZX,1,0,0,0,0,0,0,0,0,Sin servicio
0282-NVSJS,0,1,0,0,0,1,0,0,0,DSL
0285-INHLN,1,1,1,1,0,0,0,0,0,DSL
0289-IVARM,1,1,1,1,1,0,0,0,0,DSL
0292-WEGCH,1,1,0,1,1,1,1,1,1,DSL
0295-PPHDO,1,1,0,0,0,0,1,1,1,Fiber Optic
0295-QVKPB,1,1,0,0,1,1,1,0,0,DSL
0297-RBCSG,1,1,0,1,0,1,0,1,1,DSL
0298-XACET,0,1,0,1,1,1,1,0,0,DSL
0301-FIDRB,0,1,1,1,1,1,1,1,1,DSL
0301-KOBTQ,1,0,0,0,0,0,0,0,0,Sin servicio
0302-JOIVN,1,1,0,1,1,0,1,1,1,Fiber Optic
0303-UNCIP,1,1,0,0,1,0,0,1,1,DSL
0303-WMMRN,1,0,0,0,0,0,0,0,0,Sin servicio
0305-SQECB,0,1,1,0,0,1,0,0,0,DSL
0306-JAELE,1,1,0,0,0,1,1,1,1,Fiber Optic
0307-BCOPK,1,0,0,0,0,0,0,0,0,Sin servicio
0308-GIQJT,1,1,0,1,0,1,1,1,0,Fiber Optic
0308-IVGOK,0,1,0,1,1,1,0,0,0,DSL
0310-MVLET,1,1,0,1,0,0,1,1,1,Fiber Optic
0310-SUCIN,1,1,1,1,1,1,1,1,1,Cable
0310-VQXAM,1,0,0,0,0,0,0,0,0,Sin servicio
0311-QYWSS,1,1,1,0,0,0,0,0,0,DSL
0311-UNPFF,1,1,0,0,0,0,1,1,1,Fiber Optic
0314-TKOSI,1,1,1,1,0,0,0,0,0,Cable
0315-LVCRK,1,1,0,0,1,0,0,1,1,Fiber Optic
0318-QUUOB,1,1,0,0,0,0,1,0,1,Fiber Optic
0318-ZOPWS,1,0,0,0,0,0,0,0,0,Sin servicio
0319-QZTCO,1,1,0,1,0,0,1,0,0,DSL
0320-DWVTU,1,1,1,1,1,1,0,1,1,Fiber Optic
0320-JDNQG,1,1,1,0,0,1,1,1,1,Fiber Optic
0322-CHQRU,1,1,0,0,0,0,0,0,0,DSL
0322-YINQP,1,1,1,0,0,0,0,0,0,DSL
0323-XWWTN,1,0,0,0,0,0,0,0,0,Sin servicio
0324-BRPCJ,1,1,0,1,0,0,1,1,1,Cable
0325-XBFAC,1,1,0,0,1,0,1,1,1,Fiber Optic
0326-VDYXE,1,1,0,0,1,0,1,1,1,Fiber Optic
0327-WFZSY,1,1,0,0,1,0,1,1,1,Fiber Optic
0328-GRPMV,1,1,0,0,0,0,0,0,0,Fiber Optic
0329-GTIAJ,1,1,0,1,0,1,1,1,1,Fiber Optic
0330-BGYZE,1,1,0,1,1,0,1,1,1,Fiber Optic
0330-IVZHA,1,1,0,0,0,0,0,0,0,Fiber Optic
0334-GDDSO,1,1,0,1,0,0,0,0,0,Fiber Optic
0334-ZFJSR,1,1,1,1,0,1,0,0,0,Cable
0336-KXKFK,0,1,1,0,1,1,1,1,1,DSL
0336-PIKEI,1,1,1,1,1,1,1,0,0,DSL
0337-CNPZE,1,1,0,1,1,0,1,1,1,Fiber Optic
0343-QLUZP,0,1,1,1,1,0,0,0,0,DSL
0345-HKJVM,1,1,0,0,0,0,1,1,1,Fiber Optic
0345-XMMUG,1,1,0,1,1,1,1,1,1,Fiber Optic
0347-UBKUZ,1,0,0,0,0,0,0,0,0,Sin servicio
0348-SDKOL,1,1,0,0,1,1,1,1,1,Fiber Optic
0354-VXMJC,1,0,0,0,0,0,0,0,0,Sin servicio
0354-WYROK,1,1,0,0,1,1,1,1,0,Fiber Optic
0356-ERHVT,1,1,0,0,0,0,0,0,0,Cable
0356-OBMAC,1,1,0,1,1,1,1,0,0,Fiber Optic
0357-NVCRI,1,0,0,0,0,0,0,0,0,Sin servicio
0361-HJRDX,0,1,1,1,1,1,1,1,1,DSL
0362-RAOQO,1,0,0,0,0,0,0,0,0,Sin servicio
0362-ZBZWJ,1,1,0,0,0,0,0,1,1,Fiber Optic
0363-QJVFX,1,1,1,1,0,1,1,1,1,Fiber Optic
0363-SVHYR,1,1,1,1,1,1,1,1,1,DSL
0365-BZUWY,1,1,0,1,1,0,1,1,1,Fiber Optic
0365-GXEZS,1,1,0,0,1,1,0,0,0,Fiber Optic
0365-TRTPY,1,1,1,1,1,0,0,0,0,Fiber Optic
0366-NQSHS,1,0,0,0,0,0,0,0,0,Sin servicio
0369-ZGOVK,1,1,0,0,0,0,0,0,0,Fiber Optic
0373-AIVNJ,0,1,1,1,1,0,0,0,0,Cable
0374-AACSZ,1,1,1,0,0,0,0,0,0,DSL
0374-FIUCA,1,0,0,0,0,0,0,0,0,Sin servicio
0374-IOEGQ,1,1,0,0,0,0,0,0,0,Cable
0375-HVGXO,0,1,0,0,0,0,1,0,0,DSL
0376-OIWME,1,1,1,0,0,0,1,1,1,Fiber Optic
0376-YMCJC,1,1,0,0,0,1,1,0,1,Cable
0377-JBKKT,1,1,1,1,0,1,0,0,1,DSL
0378-CJKPV,1,1,1,1,1,1,1,1,1,Fiber Optic
0378-NHQXU,1,1,0,0,1,0,1,0,0,Fiber Optic
0378-TOVMS,1,1,0,0,0,1,0,1,1,Fiber Optic
0378-XSZPU,1,1,1,1,1,0,0,0,0,Cable
0379-DJQHR,1,1,1,1,1,0,1,1,1,DSL
0380-NEAVX,1,1,0,1,1,0,1,1,0,Fiber Optic
0380-ZCSBI,1,0,0,0,0,0,0,0,0,Sin servicio
0383-CLDDA,1,1,1,0,1,1,1,1,1,DSL
0384-LPITE,0,1,1,1,1,0,1,1,1,Cable
0384-RVBPI,1,1,1,0,1,0,0,1,1,DSL
0386-CWRGM,1,0,0,0,0,0,0,0,0,Sin servicio
0388-EOPEX,1,1,1,0,0,0,0,0,0,Fiber Optic
0390-DCFDQ,1,1,0,0,0,0,0,0,0,Fiber Optic
0392-BZIUW,1,1,1,0,1,0,1,1,1,Fiber Optic
0394-YONDK,1,0,0,0,0,0,0,0,0,Sin servicio
0396-HUJBP,1,0,0,0,0,0,0,0,0,Sin servicio
0396-UKGAI,1,1,0,1,0,1,0,0,1,DSL
0396-YCHWO,1,1,0,0,0,0,1,1,1,Fiber Optic
0397-GZBBC,1,1,0,0,0,0,1,1,0,Fiber Optic
0397-ZXWQF,1,0,0,0,0,0,0,0,0,Sin servicio
0401-WDBXM,1,1,1,0,1,0,1,1,1,Fiber Optic
0402-CQAJN,1,1,0,1,1,0,1,1,1,Fiber Optic
0402-OAMEN,1,0,0,0,0,0,0,0,0,Sin servicio
0404-AHASP,1,0,0,0,0,0,0,0,0,Sin servicio
0404-SWRVG,1,1,0,0,0,0,0,0,1,Fiber Optic
0406-BPDVR,1,1,0,1,0,0,1,1,1,Fiber Optic
0407-BDJKB,1,1,0,1,1,0,1,0,0,Fiber Optic
0409-WTMPL,1,1,1,1,1,0,1,1,1,Fiber Optic
0410-IPFTY,1,1,0,1,0,0,0,1,1,Fiber Optic
0411-EZJZE,1,1,0,0,0,0,1,0,0,DSL
0412-UCCNP,1,1,1,0,1,1,0,0,0,DSL
0415-MOSGF,1,1,0,0,0,0,0,0,0,DSL
0419-YAAPX,1,1,0,1,0,0,1,0,0,Fiber Optic
0420-BWTPW,0,1,0,0,0,0,0,0,0,DSL
0420-HLGXF,1,1,0,0,1,0,1,1,0,Fiber Optic
0420-TXVSG,1,1,1,1,1,0,0,0,0,DSL
0422-OHQHQ,1,0,0,0,0,0,0,0,0,Sin servicio
0422-UXFAP,1,1,0,0,1,0,1,1,1,Fiber Optic
0423-UDIJQ,1,1,0,0,0,1,0,0,0,DSL
0426-TIRNE,1,0,0,0,0,0,0,0,0,Sin servicio
0428-AXXLJ,1,0,0,0,0,0,0,0,0,Sin servicio
0428-IKYCP,1,1,0,0,1,0,1,0,0,Fiber Optic
0430-IHCDJ,1,1,0,0,0,0,0,0,0,DSL
0431-APWVY,1,1,0,0,0,0,1,1,1,Fiber Optic
0432-CAJZV,1,1,0,0,0,0,1,1,1,Fiber Optic
0434-CSFON,1,1,0,0,1,0,1,1,1,Fiber Optic
0436-TWFFZ,1,1,1,0,1,1,1,1,1,DSL
0439-IFYUN,1,1,0,1,0,0,0,0,0,Fiber Optic
0440-EKDCF,1,1,0,1,1,1,0,0,0,Cable
0440-MOGPM,1,1,0,1,1,0,1,1,1,DSL
0440-QEXBZ,1,1,0,0,0,0,0,0,0,DSL
0440-UEDAI,1,1,0,1,1,1,0,1,1,Fiber Optic
0442-TDYUO,1,0,0,0,0,0,0,0,0,Sin servicio
0442-ZXKVS,1,1,1,1,1,1,1,1,0,Fiber Optic
0447-BEMNG,0,1,1,0,1,0,0,1,1,Cable
0447-RXSGD,1,1,0,1,0,0,1,1,1,Fiber Optic
0454-OKRCT,1,1,0,1,0,1,0,0,0,Fiber Optic
0455-ENTCR,1,1,1,1,0,1,1,1,1,DSL
0455-XFASS,1,1,0,0,0,0,0,0,0,Fiber Optic
0458-HEUZG,0,1,0,0,1,1,0,0,0,Cable
0459-SPZHJ,1,1,1,1,1,0,1,1,1,DSL
0461-CVKMU,1,1,0,1,1,1,0,0,0,Fiber Optic
0463-TXOAK,1,0,0,0,0,0,0,0,0,Sin servicio
0463-WZZKO,1,0,0,0,0,0,0,0,0,Sin servicio
0463-ZSDNT,1,1,0,0,0,0,0,1,1,DSL
0464-WJTKO,1,0,0,0,0,0,0,0,0,Sin servicio
0468-YRPXN,1,1,0,0,1,1,1,1,1,Fiber Optic
0471-ARVMX,1,1,1,0,1,0,1,1,1,Fiber Optic
0471-LVHGK,1,1,0,0,1,0,1,1,1,DSL
0475-RIJEP,1,1,0,1,0,0,0,0,0,Fiber Optic
0479-HMSWA,1,1,0,1,1,1,1,1,1,Fiber Optic
0480-BIXDE,1,1,0,0,1,0,1,1,1,Fiber Optic
0480-KYJVA,1,0,0,0,0,0,0,0,0,Sin servicio
0481-SUMCB,1,1,0,0,1,0,1,1,0,Fiber Optic
0484-FFVBJ,1,1,0,0,0,0,1,1,1,DSL
0484-JPBRU,1,0,0,0,0,0,0,0,0,Sin servicio
0485-ZBSLN,1,0,0,0,0,0,0,0,0,Sin servicio
0486-HECZI,1,1,1,1,0,0,1,0,0,Fiber Optic
0486-LGCCH,1,0,0,0,0,0,0,0,0,Sin servicio
0487-CRLZF,1,1,0,0,1,1,1,1,1,DSL
0487-RPVUM,1,1,1,0,1,1,1,0,0,Fiber Optic
0487-VVUVK,1,0,0,0,0,0,0,0,0,Sin servicio
0488-GSLFR,1,1,0,0,0,0,0,0,0,Fiber Optic
0489-WMEMG,1,1,0,0,0,1,0,0,0,Cable
0491-KAPQG,1,1,0,0,0,0,0,0,1,Fiber Optic
0495-RVCBF,1,1,0,0,0,0,0,1,1,Fiber Optic
0495-ZBNGW,1,1,0,0,1,0,0,0,0,Fiber Optic
0496-AHOOK,1,1,1,0,0,1,1,1,1,Cable
0504-HHAPI,1,1,0,0,1,0,0,1,0,Fiber Optic
0505-SPOOW,1,0,0,0,0,0,0,0,0,Sin servicio
0506-LVNGN,1,1,0,0,1,0,0,0,0,Fiber Optic
0506-YLVKJ,1,0,0,0,0,0,0,0,0,Sin servicio
0508-OOLTO,1,1,0,0,0,0,0,0,0,Fiber Optic
0508-SQWPL,1,0,0,0,0,0,0,0,0,Sin servicio
0511-JTEOY,1,1,0,0,0,0,0,0,0,Fiber Optic
0512-FLFDW,1,1,0,0,1,0,1,1,0,Fiber Optic
0513-RBGPE,1,1,1,0,1,1,0,0,0,DSL
0515-YPMCW,1,1,0,0,0,0,0,0,0,Fiber Optic
0516-OOHAR,1,1,0,1,1,0,1,1,1,Fiber Optic
0516-QREYC,1,0,0,0,0,0,0,0,0,Sin servicio
0516-UXRMT,1,1,1,1,1,0,0,0,0,Fiber Optic
0516-VRYBW,1,0,0,0,0,0,0,0,0,Sin servicio
0516-WJVXC,1,1,1,0,0,1,0,0,0,DSL
0519-DRGTI,1,0,0,0,0,0,0,0,0,Sin servicio
0519-XUZJU,1,1,0,0,0,0,0,0,0,Fiber Optic
0520-FDVVT,1,1,0,1,1,0,1,1,1,Fiber Optic
0523-VNGTF,0,1,0,1,1,1,1,0,0,DSL
0524-IAVZO,1,1,0,0,0,0,0,1,1,Fiber Optic
0526-SXDJP,0,1,1,1,1,0,0,0,0,Cable
0529-ONKER,1,1,0,0,0,0,0,0,0,Fiber Optic
0530-IJVDB,1,1,1,1,1,1,1,1,1,Fiber Optic
0531-XBKMM,1,1,1,1,0,1,0,0,0,DSL
0531-ZZJWQ,1,1,0,0,0,0,0,0,0,Fiber Optic
0533-BNWKF,1,1,0,1,1,0,0,0,0,Fiber Optic
0533-UCAAU,1,1,0,1,1,0,1,0,0,DSL
0536-ACXIP,1,1,1,1,1,0,1,1,1,Fiber Optic
0536-BGFMZ,1,0,0,0,0,0,0,0,0,Sin servicio
0536-ESJEP,1,1,1,1,0,0,1,1,1,DSL
0537-QYZZN,1,1,1,0,0,0,0,0,0,Fiber Optic
0541-FITGH,1,1,1,0,0,0,0,1,1,Cable
0547-HURJB,1,0,0,0,0,0,0,0,0,Sin servicio
0549-CYCQN,1,1,0,1,0,0,0,0,0,Fiber Optic
0550-DCXLH,1,1,0,1,0,1,1,1,1,DSL
0556-FJEGU,1,1,0,1,1,1,1,0,0,DSL
0557-ASKVU,1,1,0,0,1,1,0,0,0,Cable
0559-CKHUS,1,0,0,0,0,0,0,0,0,Sin servicio
0562-FGDCR,1,1,1,1,0,1,1,0,0,DSL
0562-HKHML,1,0,0,0,0,0,0,0,0,Sin servicio
0562-KBDVM,0,1,1,1,1,1,0,0,0,DSL
0564-JJHGS,1,1,0,0,0,0,1,1,1,Fiber Optic
0564-MUUQK,1,1,0,0,1,1,0,1,1,Fiber Optic
0565-IYCGT,1,1,1,1,1,1,0,1,1,DSL
0565-JUPYD,1,1,1,1,1,1,1,0,0,Fiber Optic
0567-GGCAC,1,1,1,1,1,0,0,0,0,DSL
0567-XRHCU,0,1,1,0,1,0,0,1,1,DSL
0568-ONFPC,1,0,0,0,0,0,0,0,0,Sin servicio
0570-BFQHT,1,1,0,1,1,0,0,0,0,Fiber Optic
0572-ZJKLT,1,1,1,0,1,1,0,1,1,Fiber Optic
0575-CUQOV,1,1,0,1,1,0,1,1,0,Fiber Optic
0576-WNXXC,1,1,0,1,1,0,0,1,1,Fiber Optic
0577-WHMEV,1,1,1,1,1,0,0,0,1,Fiber Optic
0578-SKVMF,1,1,0,1,0,0,0,1,1,Cable
0580-PIQHM,1,1,1,1,1,0,0,1,1,Fiber Optic
0581-BXBUB,1,1,0,1,0,0,0,0,0,Fiber Optic
0581-MDMPW,1,1,0,0,1,0,1,0,0,Fiber Optic
0582-AVCLN,1,0,0,0,0,0,0,0,0,Sin servicio
0584-BJQGZ,1,1,1,1,1,1,1,0,0,Cable
0585-EGDDA,1,1,0,1,1,0,0,0,0,Fiber Optic
0587-DMGBH,1,1,1,0,0,0,0,0,0,Cable
0594-UFTUL,1,0,0,0,0,0,0,0,0,Sin servicio
0595-ITUDF,1,1,1,1,1,0,0,0,0,Fiber Optic
0596-BQCEQ,1,1,0,1,1,0,1,1,1,Fiber Optic
0599-XNYDO,1,1,0,0,0,0,0,0,0,Fiber Optic
0601-WZHJF,0,1,0,0,0,0,1,1,1,DSL
0602-DDUML,1,1,0,1,1,1,1,0,1,Cable
0603-OLQDC,1,1,1,0,0,0,1,1,1,Cable
0603-TPMIB,1,0,0,0,0,0,0,0,0,Sin servicio
0604-THJFP,1,1,0,1,0,1,1,1,1,DSL
0607-DAAHE,1,0,0,0,0,0,0,0,0,Sin servicio
0607-MVMGC,1,1,0,1,1,0,1,1,1,DSL
0608-JDVEC,1,0,0,0,0,0,0,0,0,Sin servicio
0611-DFXKO,1,1,0,0,0,0,1,1,1,Fiber Optic
0612-RTZZA,0,1,0,0,0,0,0,0,0,DSL
0613-WUXUM,1,0,0,0,0,0,0,0,0,Sin servicio
