customer_id,city,zip_code,total_population,latitude,longitude
0056-EPFBG,Redding,96003,41476,40.677649,-122.29467
0057-QBUQH,San Martin,95046,5671,37.084697,-121.606417
0058-EVZWM,Stockton,95209,30814,38.044523,-121.348048
0060-FUALY,Los Angeles,90003,58198,33.964131,-118.272783
0064-SUDOG,Huntington Park,90255,78114,33.97803,-118.217141
0064-YIJGF,Yermo,92398,1195,35.013299,-116.834092
0067-DKWBL,San Diego,92129,47224,32.961064,-117.134917
0068-FIGTF,Fremont,94539,46917,37.516791,-121.899117
0071-NDAFP,Santa Rosa,95405,22250,38.439696,-122.668817
0074-HDKDG,San Jose,95126,27023,37.327069,-121.916819
0076-LVEPS,Tujunga,91042,26753,34.296574,-118.244839
0078-XZMHT,Visalia,93291,36718,36.391777,-119.372842
0080-EMYVY,Lodi,95240,45755,38.123544,-121.159078
0080-OROZO,El Portal,95318,579,37.654551,-119.822984
0082-LDZUE,Calistoga,94515,7384,38.629618,-122.593216
0082-OQIQY,Farmington,95230,596,37.956963,-120.863055
0083-PIVIK,Tulelake,96134,2595,41.813521,-121.492666
0089-IIQKO,Coleville,96107,1332,38.42528,-119.475741
0093-EXYQL,Ojai,93023,21633,34.581308,-118.931948
0093-XWZFY,Desert Hot Springs,92241,5529,33.832799,-116.250973
0094-OIFMO,North Hollywood,91605,57146,34.207295,-118.400022
0096-BXERS,Inverness,94937,1004,38.099323,-122.945723
0096-FCPUF,Santa Rosa,95404,35057,38.526941,-122.709096
0098-BOWSO,San Jose,95131,26389,37.387027,-121.897775
0100-DUVFC,Wilmington,90744,53323,33.782068,-118.262263
0103-CSITQ,Modesto,95357,13343,37.670526,-120.877572
0104-PPXDV,San Diego,92113,47431,32.697098,-117.116587
0106-GHRQR,Rancho Palos Verdes,90275,41263,33.753146,-118.367459
0106-UGRDO,Kenwood,95452,1653,38.419525,-122.521585
0107-WESLM,West Point,95255,2198,38.41935,-120.469545
0107-YHINA,Los Angeles,90062,29299,34.003553,-118.308933
0111-KLBQG,Morongo Valley,92256,3499,34.097863,-116.594561
0112-QAWRZ,Palo Verde,92266,291,33.3249,-114.758334
0112-QWPNC,Valyermo,93563,413,34.39583,-117.734568
0114-IGABW,Cambria,93428,6526,35.591387,-121.032256
0114-PEGZZ,Round Mountain,96084,459,40.923558,-122.059933
0114-RSRRW,Klamath,95548,1215,41.572813,-124.035011
0115-TFERT,Fresno,93650,3258,36.841655,-119.797113
0117-LFRMW,Angwin,94508,3641,38.542448,-122.419923
0118-JPNOY,Le Grand,95333,3256,37.249377,-120.249581
0121-SNYRK,Redway,95560,1851,40.142256,-123.852927
0122-OAHPZ,San Diego,92122,34902,32.85723,-117.209774
0123-CRBRT,Monterey Park,91755,26933,34.049172,-118.115022
0125-LZQXK,Big Oak Flat,95305,167,37.818589,-120.256995
0128-MKWSG,Stevenson Ranch,91381,9937,34.364153,-118.615583
0129-KPTWJ,North Highlands,95660,32202,38.671295,-121.388251
0129-QMPDR,La Puente,91746,30802,34.038983,-117.991372
0130-SXOUN,Glenhaven,95443,175,39.045246,-122.743181
0133-BMFZO,Alhambra,91803,30635,34.074736,-118.145959
0134-XWXCE,Santa Monica,90403,23559,34.031529,-118.491156
0135-NMXAP,Lodi,95240,45755,38.123544,-121.159078
0136-IFMYD,Los Angeles,90001,54492,33.973616,-118.24902
0137-OCGAB,Fairfield,94533,77683,38.287136,-122.02711
0137-UDEUO,Stockton,95204,30476,37.974498,-121.319568
0139-IVFJG,Temecula,92592,46171,33.507255,-117.029473
0141-YEAYS,Fallbrook,92028,42239,33.362575,-117.299644
0142-GVYSN,Randsburg,93554,117,35.405722,-117.773354
0147-ESWWR,Atascadero,93422,29539,35.453912,-120.69461
0148-DCDOS,Planada,95365,4150,37.329725,-120.306399
0151-ONTOV,Moorpark,93021,32984,34.312945,-118.858169
0156-FVPTA,Solvang,93463,7958,34.624399,-120.137875
0164-APGRB,Calistoga,94515,7384,38.629618,-122.593216
0164-XAIRP,La Mirada,90638,47568,33.902045,-118.008961
0168-XZKBB,Boron,93516,2241,34.95703,-117.73045
0174-QRVVY,San Marcos,92078,6760,33.119028,-117.166036
0177-PXBAT,Desert Center,92239,964,33.889605,-115.257009
0178-CIIKR,Crows Landing,95313,1508,37.435664,-121.049056
0178-SZBHO,Tuolumne,95379,3979,37.939768,-120.188002
0181-RITDD,San Diego,92120,25569,32.807867,-117.060993
0186-CAERR,Auburn,95603,24944,38.912881,-121.082766
0187-QSXOE,Fresno,93725,21010,36.623632,-119.741322
0187-WZNAB,Del Rey,93616,1965,36.657462,-119.595293
0188-GWFLE,Redwood City,94065,10658,37.527497,-122.230941
0191-EQUUH,Landers,92285,2182,34.341737,-116.539416
0191-ZHSKZ,Hawthorne,90250,93315,33.914775,-118.348083
0193-ESZXP,Oceano,93445,7435,35.059695,-120.604741
0195-IESCP,Armona,93202,2872,36.315979,-119.710852
0196-JTUQI,Clarksburg,95612,1417,38.384648,-121.578701
0196-VULGZ,Irvine,92620,26419,33.716136,-117.752574
0197-PNKNK,Scotts Valley,95066,14574,37.070177,-122.010077
0201-MIBOL,Salida,95368,12466,37.713152,-121.08739
0201-OAMXR,Mckinleyville,95519,15921,40.965011,-124.015255
0203-HHYIJ,Atherton,94027,6876,37.454924,-122.203168
0206-OYVOC,Huntington Beach,92649,32304,33.721917,-118.043237
0206-TBWLC,Calimesa,92320,7334,33.982787,-117.057627
0207-MDKNV,Daly City,94014,47453,37.691561,-122.445202
0208-BPQEJ,Middletown,95461,7789,38.787446,-122.58675
0212-ISBBF,Berkeley,94705,12448,37.858898,-122.240512
0214-JHPFW,Lost Hills,93249,2502,35.637715,-119.893068
0215-BQKGS,Garden Grove,92844,23481,33.766476,-117.969795
0218-QNVAS,Indio,92203,2743,33.752938,-116.230055
0219-QAERP,Oxnard,93033,77791,34.156629,-119.117218
0219-YTZUE,San Diego,92122,34902,32.85723,-117.209774
0220-EBGCE,Escondido,92027,48690,33.141265,-116.967221
0221-NAUXK,Moreno Valley,92553,61205,33.923149,-117.244933
0221-WMXNQ,Chino,91710,75319,33.990646,-117.663025
0222-CNVPT,Sacramento,95820,37031,38.53508,-121.444144
0224-HJAPT,San Diego,92117,51213,32.825086,-117.199424
0224-NIJLP,Turlock,95380,40545,37.474396,-120.875917
0224-RLWWD,Calexico,92231,27804,32.690654,-115.431225
0225-ZORZP,Groveland,95321,3680,37.902968,-119.667544
0228-MAUWC,Los Gatos,95033,10172,37.160194,-121.945611
0229-LFJAF,Clovis,93611,46858,36.917652,-119.593757
0230-UBYPQ,Hyampom,96046,268,40.648024,-123.465088
0230-WEQUW,Woodland Hills,91364,25988,34.153733,-118.593408
0231-LXVAP,Temecula,92592,46171,33.507255,-117.029473
0233-FTHAV,Livingston,95334,12672,37.361987,-120.748394
0234-TEVTT,Tulare,93274,56101,36.185471,-119.375243
0235-KGSLC,Buellton,93427,4644,34.631362,-120.238218
0236-HFWSV,Palmdale,93552,25370,34.557711,-118.029441
0237-YFUTL,Midway City,92655,8660,33.744439,-117.98588
0238-WHBIQ,Folsom,95630,51855,38.672638,-121.147403
0239-OXEXL,Oakland,94619,24518,37.787186,-122.14633
0244-LGNFY,San Anselmo,94960,16849,37.99272,-122.575026
0247-SLUJI,Duarte,91010,27414,34.145695,-117.95982
0248-IPDFW,Lake Elsinore,92530,38519,33.655421,-117.391751
0248-PGHBZ,San Clemente,92672,34946,33.429488,-117.609432
0253-ZTEOB,Los Angeles,90004,67852,34.076259,-118.310715
0254-FNMCI,Downey,90241,40152,33.940884,-118.128628
0254-KCJGT,Bodega Bay,94923,1785,38.377165,-123.037957
0254-WWRKD,Challenge,95925,262,39.461768,-121.195825
0256-LTHVJ,Ludlow,92338,23,34.702766,-116.093376
0257-KXZGU,Santa Clara,95051,52986,37.348129,-121.98469
0257-ZESQC,Perris,92571,26357,33.828289,-117.201666
0258-NOKBL,Fortuna,95540,12241,40.584991,-124.121504
0259-GBZSH,San Diego,92122,34902,32.85723,-117.209774
0260-ZDLGK,San Dimas,91773,33878,34.102119,-117.815532
0263-FJTQO,Rescue,95672,3815,38.724322,-120.991237
0264-CNITK,Clio,96106,88,39.745805,-120.580882
0265-EDXBD,San Diego,92122,34902,32.85723,-117.209774
0265-PSUAE,Lotus,95651,485,38.815515,-120.916997
0266-CLZKZ,San Marcos,92078,6760,33.119028,-117.166036
0266-GMEAO,Lompoc,93436,51737,34.601055,-120.382917
0268-QKIWO,Pilot Hill,95664,1173,38.803731,-121.043799
0269-XFESX,San Francisco,94133,26831,37.802071,-122.411004
0270-THENM,Mission Hills,91345,17112,34.266389,-118.459744
0274-JKUJR,Los Angeles,90040,9805,33.994524,-118.149953
0277-BKSQP,Harbor City,90710,24660,33.798266,-118.300237
0277-ORXQS,San Francisco,94108,13723,37.791998,-122.408653
0278-YXOOG,Inglewood,90301,37527,33.956445,-118.358634
0280-XJGEX,Los Angeles,90015,15140,34.039224,-118.266293
0281-CNTZX,Pescadero,94060,2055,37.22565,-122.297533
0282-NVSJS,Aromas,95004,3373,36.878364,-121.629781
0285-INHLN,Badger,93603,273,36.64545,-118.924982
0289-IVARM,Parlier,93648,12587,36.622237,-119.521126
0292-WEGCH,Death Valley,92328,443,36.27688,-117.033326
0295-PPHDO,La Puente,91744,84965,34.031441,-117.936436
0295-QVKPB,Riverdale,93656,5729,36.452211,-119.94575
0297-RBCSG,San Francisco,94104,384,37.791222,-122.402241
0298-XACET,Berry Creek,95916,1279,39.657228,-121.37778
0301-FIDRB,Fulton,95439,476,38.493888,-122.777141
0301-KOBTQ,Capitola,95010,9673,36.977025,-121.952864
0302-JOIVN,San Diego,92109,46086,32.787836,-117.232376
0303-UNCIP,Claremont,91711,34716,34.127621,-117.717863
0303-WMMRN,Glendale,91207,9864,34.182378,-118.262922
0305-SQECB,Gardena,90248,9960,33.876482,-118.284077
0306-JAELE,Fallbrook,92028,42239,33.362575,-117.299644
0307-BCOPK,San Francisco,94134,40137,37.721052,-122.413573
0308-GIQJT,San Diego,92126,74232,32.886925,-117.152162
0308-IVGOK,Santa Ana,92703,70011,33.748635,-117.906125
0310-MVLET,Snelling,95369,1158,37.521708,-120.426843
0310-SUCIN,Darwin,93522,64,36.319181,-117.593053
0310-VQXAM,San Bernardino,92404,53636,34.183286,-117.221722
0311-QYWSS,Garberville,95542,2423,40.057784,-123.679461
0311-UNPFF,Long Beach,90807,31556,33.830099,-118.182239
0314-TKOSI,Upland,91784,23331,34.141146,-117.655583
0315-LVCRK,El Dorado Hills,95762,22028,38.684437,-121.055634
0318-QUUOB,Santa Rosa,95403,40270,38.488431,-122.752839
0318-ZOPWS,Malibu,90265,19630,34.074572,-118.831181
0319-QZTCO,Santa Rosa,95401,36125,38.460517,-122.790335
0320-DWVTU,Riverdale,93656,5729,36.452211,-119.94575
0320-JDNQG,Oxnard,93035,25322,34.18454,-119.224666
0322-CHQRU,Palmdale,93591,6787,34.598221,-117.79593
0322-YINQP,Covina,91723,17554,34.084747,-117.886844
0323-XWWTN,San Lucas,93954,521,36.125529,-120.864443
0324-BRPCJ,Palmdale,93591,6787,34.598221,-117.79593
0325-XBFAC,Hoopa,95546,3041,41.163637,-123.704841
0326-VDYXE,Long Beach,90802,38427,33.752524,-118.210737
0327-WFZSY,Samoa,95564,395,40.809636,-124.189977
0328-GRPMV,Burnt Ranch,95527,485,40.854512,-123.450097
0329-GTIAJ,Garden Grove,92844,23481,33.766476,-117.969795
0330-BGYZE,Milford,96121,481,40.181279,-120.392967
0330-IVZHA,Anderson,96007,21418,40.448632,-122.306657
0334-GDDSO,San Diego,92122,34902,32.85723,-117.209774
0334-ZFJSR,San Diego,92123,25232,32.808814,-117.134694
0336-KXKFK,Santa Margarita,93453,2687,35.303926,-120.256567
0336-PIKEI,Orange,92869,37916,33.792791,-117.789749
0337-CNPZE,Los Angeles,90033,49431,34.050198,-118.210946
0343-QLUZP,San Jose,95111,57748,37.284265,-121.827673
0345-HKJVM,San Diego,92109,46086,32.787836,-117.232376
0345-XMMUG,Ione,95640,9752,38.33788,-120.954202
0347-UBKUZ,San Mateo,94404,31882,37.556094,-122.272437
0348-SDKOL,San Diego,92117,51213,32.825086,-117.199424
0354-VXMJC,Los Angeles,90034,58218,34.030578,-118.399613
0354-WYROK,San Francisco,94130,1458,37.820894,-122.369725
0356-ERHVT,Santa Cruz,95062,36631,36.974575,-121.991149
0356-OBMAC,Winchester,92596,4093,33.657433,-117.04254
0357-NVCRI,El Cajon,92021,61872,32.832706,-116.873258
0361-HJRDX,Sherman Oaks,91403,22085,34.147149,-118.463365
0362-RAOQO,Norco,92860,22443,33.925833,-117.559639
0362-ZBZWJ,Thornton,95686,1472,38.157794,-121.520223
0363-QJVFX,Lake Hughes,93532,2771,34.659579,-118.584212
0363-SVHYR,Paramount,90723,55306,33.897122,-118.164432
0365-BZUWY,San Juan Capistrano,92675,34321,33.521447,-117.602555
0365-GXEZS,Copperopolis,95228,2633,37.943954,-120.67108
0365-TRTPY,Covina,91724,25068,34.08111,-117.853935
0366-NQSHS,Colusa,95932,7503,39.273096,-122.050763
0369-ZGOVK,Cypress,90630,47344,33.818477,-118.038307
0373-AIVNJ,Sacramento,95814,16599,38.584505,-121.491956
0374-AACSZ,Lancaster,93534,35109,34.727529,-118.153098
0374-FIUCA,Orange,92867,40915,33.81859,-117.821288
0374-IOEGQ,Gonzales,93926,9023,36.52588,-121.396719
0375-HVGXO,Los Angeles,90045,39334,33.954017,-118.402447
0376-OIWME,San Ysidro,92173,28488,32.555828,-117.040073
0376-YMCJC,Novato,94949,13361,38.067204,-122.524004
0377-JBKKT,Gilroy,95020,49968,37.03889,-121.528955
0378-CJKPV,Oak Park,91377,14814,34.19225,-118.776874
0378-NHQXU,South San Francisco,94080,60599,37.654436,-122.426468
0378-TOVMS,Vernalis,95385,274,37.609095,-121.263381
0378-XSZPU,San Jose,95117,29914,37.311088,-121.961786
0379-DJQHR,Sunnyvale,94089,16985,37.421633,-122.009613
0380-NEAVX,Newport Beach,92660,28687,33.634626,-117.874882
0380-ZCSBI,San Francisco,94133,26831,37.802071,-122.411004
0383-CLDDA,Stanford,94305,13386,37.424342,-122.165641
0384-LPITE,Los Angeles,90041,27866,34.137412,-118.207607
0384-RVBPI,Turlock,95380,40545,37.474396,-120.875917
0386-CWRGM,Beverly Hills,90210,21397,34.099891,-118.414338
0388-EOPEX,Riverside,92503,71678,33.890046,-117.455583
0390-DCFDQ,Los Alamitos,90720,21343,33.79499,-118.065591
0392-BZIUW,Fresno,93710,29337,36.822715,-119.761826
0394-YONDK,Escondido,92025,49281,33.081478,-117.033814
0396-HUJBP,Gardena,90247,47758,33.890853,-118.297967
0396-UKGAI,Encinitas,92024,47126,33.054579,-117.25665
0396-YCHWO,Sacramento,95829,11396,38.486502,-121.334051
0397-GZBBC,South Dos Palos,93665,343,36.959731,-120.653519
0397-ZXWQF,Orick,95555,494,41.336354,-124.044354
0401-WDBXM,San Jose,95118,31926,37.255479,-121.889838
0402-CQAJN,El Monte,91732,62660,34.074492,-118.01462
0402-OAMEN,Spreckels,93962,407,36.624641,-121.647195
0404-AHASP,Beverly Hills,90212,11355,34.062095,-118.401508
0404-SWRVG,La Habra,90631,67354,33.940619,-117.9513
0406-BPDVR,Visalia,93277,44741,36.303793,-119.375646
0407-BDJKB,San Francisco,94114,30587,37.758085,-122.434801
0409-WTMPL,Whittier,90602,26265,33.972119,-118.020188
0410-IPFTY,Long Beach,90822,425,33.778436,-118.118648
0411-EZJZE,Stockton,95215,23789,37.946282,-121.139499
0412-UCCNP,Essex,92332,115,34.9436,-115.287901
0415-MOSGF,Los Gatos,95030,13290,37.222842,-121.988727
0419-YAAPX,Grass Valley,95949,17922,39.099204,-121.137962
0420-BWTPW,San Diego,92117,51213,32.825086,-117.199424
0420-HLGXF,Visalia,93291,36718,36.391777,-119.372842
0420-TXVSG,San Jose,95112,52334,37.343827,-121.883119
0422-OHQHQ,Fresno,93722,60889,36.78979,-119.929894
0422-UXFAP,San Diego,92117,51213,32.825086,-117.199424
0423-UDIJQ,Snelling,95369,1158,37.521708,-120.426843
0426-TIRNE,Encino,91316,27614,34.150354,-118.518292
0428-AXXLJ,Bellflower,90706,72893,33.887676,-118.127289
0428-IKYCP,Sonora,95370,25340,37.982716,-120.343732
0430-IHCDJ,Highland,92346,48245,34.129677,-117.154277
0431-APWVY,Novato,94949,13361,38.067204,-122.524004
0432-CAJZV,Temecula,92592,46171,33.507255,-117.029473
0434-CSFON,Los Angeles,90071,21,34.052917,-118.255178
0436-TWFFZ,Long Beach,90805,91664,33.864622,-118.179626
0439-IFYUN,Escondido,92027,48690,33.141265,-116.967221
0440-EKDCF,Herlong,96113,946,40.198234,-120.18089
0440-MOGPM,Petaluma,94954,35419,38.235021,-122.557332
0440-QEXBZ,Mojave,93501,4882,35.097323,-118.171288
0440-UEDAI,Callahan,96014,290,41.388397,-122.794636
0442-TDYUO,Bodega,94922,584,38.343282,-122.9755
0442-ZXKVS,Denair,95316,5513,37.524721,-120.757977
0447-BEMNG,Wrightwood,92397,4253,34.358321,-117.618263
0447-RXSGD,Monterey,93940,32857,36.362741,-121.869685
0454-OKRCT,Palo Alto,94301,16198,37.444314,-122.149996
0455-ENTCR,Jamestown,95327,9559,37.84771,-120.486589
0455-XFASS,Campbell,95008,44976,37.279689,-121.954567
0458-HEUZG,Alderpoint,95511,261,40.166028,-123.584144
0459-SPZHJ,Garden Grove,92843,43491,33.764018,-117.931507
0461-CVKMU,Oak Run,96069,829,40.689243,-122.037023
0463-TXOAK,Madison,95653,844,38.674276,-121.961866
0463-WZZKO,Van Nuys,91406,50047,34.195685,-118.490752
0463-ZSDNT,Escondido,92026,43436,33.21846,-117.116916
0464-WJTKO,Cedarville,96104,857,41.505916,-120.152505
0468-YRPXN,Lomita,90717,21065,33.794209,-118.317354
0471-ARVMX,Kelseyville,95451,9902,38.93496,-122.792243
0471-LVHGK,Orangevale,95662,32040,38.689174,-121.218435
0475-RIJEP,Pinecrest,95364,235,38.224869,-119.755729
0479-HMSWA,San Clemente,92672,34946,33.429488,-117.609432
0480-BIXDE,Beale Afb,95903,5654,39.125311,-121.392283
0480-KYJVA,Sacramento,95835,854,38.685069,-121.543709
0481-SUMCB,Greenville,95947,2064,40.160386,-120.835428
0484-FFVBJ,Fort Bragg,95437,14417,39.455555,-123.683979
0484-JPBRU,Petaluma,94954,35419,38.235021,-122.557332
0485-ZBSLN,Mecca,92254,8768,33.543835,-115.993906
0486-HECZI,Torrance,90504,31678,33.867257,-118.330794
0486-LGCCH,Victorville,92394,12083,34.567058,-117.362329
0487-CRLZF,Poway,92064,47969,32.984395,-117.013454
0487-RPVUM,Mount Hermon,95041,77,37.051166,-122.056194
0487-VVUVK,Santa Barbara,93109,10986,34.406256,-119.726936
0488-GSLFR,Taylorsville,95983,513,40.053684,-120.743116
0489-WMEMG,Korbel,95550,155,40.7666,-123.80458
0491-KAPQG,Pine Valley,91962,1604,32.800671,-116.483363
0495-RVCBF,Santa Rosa,95401,36125,38.460517,-122.790335
0495-ZBNGW,Loma Mar,94021,148,37.266388,-122.26308
0496-AHOOK,Bangor,95914,626,39.396585,-121.38029
0504-HHAPI,Guinda,95637,228,38.830739,-122.196202
0505-SPOOW,Riverside,92508,17147,33.885499,-117.324959
0506-LVNGN,Rancho Cordova,95742,299,38.591134,-121.161585
0506-YLVKJ,Sultana,93666,306,36.545353,-119.338535
0508-OOLTO,Fort Irwin,92310,9465,35.349241,-116.770281
0508-SQWPL,La Mesa,91941,44652,32.759327,-116.99726
0511-JTEOY,Canyon Dam,95923,86,40.171312,-121.120605
0512-FLFDW,Palomar Mountain,92060,234,33.309852,-116.823091
0513-RBGPE,Rancho Santa Fe,92091,1072,32.99356,-117.207121
0515-YPMCW,San Jose,95116,51706,37.350284,-121.852855
0516-OOHAR,Topanga,90290,5451,34.115192,-118.61017
0516-QREYC,Capay,95607,262,38.681651,-122.130569
0516-UXRMT,Oxnard,93033,77791,34.156629,-119.117218
0516-VRYBW,Stanton,90680,29694,33.801869,-117.995068
0516-WJVXC,Sacramento,95818,21313,38.556306,-121.495817
0519-DRGTI,Stockton,95219,19109,38.029729,-121.387999
0519-XUZJU,Felton,95018,8728,37.089111,-122.062213
0520-FDVVT,Lewiston,96052,1845,40.704293,-122.803899
0523-VNGTF,Sun Valley,91352,46639,34.231053,-118.338307
0524-IAVZO,Anza,92539,3745,33.527605,-116.666551
0526-SXDJP,Bell,90201,105285,33.970343,-118.171368
0529-ONKER,Forest Ranch,95942,1351,40.077028,-121.494168
0530-IJVDB,Jamul,91935,8759,32.695681,-116.798386
0531-XBKMM,Azusa,91702,57775,34.174493,-117.87068
0531-ZZJWQ,Fallbrook,92028,42239,33.362575,-117.299644
0533-BNWKF,San Diego,92122,34902,32.85723,-117.209774
0533-UCAAU,Montgomery Creek,96065,431,40.877552,-121.885884
0536-ACXIP,Lodi,95242,22073,38.128087,-121.4078
0536-BGFMZ,Leggett,95585,321,39.873371,-123.741474
0536-ESJEP,Rough And Ready,95975,1601,39.225634,-121.156163
0537-QYZZN,Petaluma,94952,31930,38.237018,-122.77872
0541-FITGH,Hornitos,95325,128,37.479926,-120.230424
0547-HURJB,Dixon,95620,18529,38.392821,-121.799917
0549-CYCQN,Flournoy,96029,84,39.84784,-122.544556
0550-DCXLH,Thermal,92274,17018,33.53604,-116.119222
0556-FJEGU,Lafayette,94549,23996,37.907777,-122.127161
0557-ASKVU,Beverly Hills,90210,21397,34.099891,-118.414338
0559-CKHUS,Pleasanton,94588,28568,37.685052,-121.912061
0562-FGDCR,Whitmore,96096,843,40.637105,-121.906949
0562-HKHML,Alameda,94502,13996,37.724817,-122.224363
0562-KBDVM,Herald,95638,1745,38.313447,-121.123886
0564-JJHGS,Guerneville,95446,4913,38.52576,-123.013347
0564-MUUQK,Imperial Beach,91932,26662,32.579134,-117.119009
0565-IYCGT,San Diego,92117,51213,32.825086,-117.199424
0565-JUPYD,Benicia,94510,25578,38.113533,-122.11926
0567-GGCAC,Biola,93606,807,36.798882,-120.019511
0567-XRHCU,Los Angeles,90049,33523,34.091829,-118.491244
0568-ONFPC,San Francisco,94112,73117,37.720498,-122.443119
0570-BFQHT,Anderson,96007,21418,40.448632,-122.306657
0572-ZJKLT,Chester,96020,2664,40.243494,-121.154733
0575-CUQOV,Hilmar,95324,7177,37.394536,-120.890747
0576-WNXXC,Parlier,93648,12587,36.622237,-119.521126
0577-WHMEV,San Jose,95133,26032,37.371862,-121.860349
0578-SKVMF,Seeley,92273,1632,32.790282,-115.689559
0580-PIQHM,Riverside,92503,71678,33.890046,-117.455583
0581-BXBUB,Penn Valley,95946,9752,39.203817,-121.19584
0581-MDMPW,San Jose,95148,44103,37.339533,-121.777179
0582-AVCLN,Bakersfield,93304,44588,35.339796,-119.023552
0584-BJQGZ,Taylorsville,95983,513,40.053684,-120.743116
0585-EGDDA,Etna,96027,2156,41.405193,-123.008567
0587-DMGBH,Willows,95988,8812,39.493991,-122.286363
0594-UFTUL,Mather,95655,929,38.549822,-121.266725
0595-ITUDF,Fairfax,94930,8486,37.971751,-122.611873
0596-BQCEQ,Hydesville,95547,1201,40.557314,-124.081662
0599-XNYDO,Graton,95444,390,38.434362,-122.86891
0601-WZHJF,Shafter,93263,15177,35.490705,-119.286833
0602-DDUML,Fallbrook,92028,42239,33.362575,-117.299644
0603-OLQDC,Whittier,90601,32050,34.007353,-118.033683
0603-TPMIB,San Simeon,93452,471,35.746484,-121.223355
0604-THJFP,Castro Valley,94552,13212,37.722727,-122.02157
0607-DAAHE,Olivehurst,95961,6439,39.082568,-121.55325
0607-MVMGC,Ranchita,92066,339,33.215251,-116.53633
0608-JDVEC,Dunlap,93621,506,36.789213,-119.140338
0611-DFXKO,Comptche,95427,371,39.239818,-123.565432
0612-RTZZA,Vista,92084,44692,33.22784,-117.200024
0613-WUXUM,Soquel,95073,9823,37.023669,-121.946461
0616-ATFGB,Shasta Lake,96019,6277,40.692523,-122.369876
0617-AQNWT,North Hills,91343,57017,34.238802,-118.482296
0617-FHSGK,Rancho Cordova,95670,49729,38.602723,-121.279913
0618-XWMSS,Wasco,93280,22760,35.652242,-119.4464
0619-OLYUR,Garden Grove,92840,50641,33.787165,-117.931889
0620-DLSLK,Pasadena,91103,27891,34.167465,-118.165327
0620-XEFWH,Oak Run,96069,829,40.689243,-122.037023
0621-CXBKL,Copperopolis,95228,2633,37.943954,-120.67108
0621-HJWXJ,Irvine,92618,6301,33.667145,-117.732135
0621-JFHOL,North Hollywood,91602,16996,34.15136,-118.364786
0621-TSSMU,Maywood,90270,28094,33.988572,-118.186565
0621-TWIEM,Newhall,91321,30742,34.370378,-118.504118
0623-EJQEG,Murphys,95247,4353,38.147852,-120.440124
0623-GDISB,San Clemente,92673,15297,33.4725,-117.584273
0623-IIHUG,San Diego,92122,34902,32.85723,-117.209774
0625-AFOHS,Ferndale,95536,2965,40.4785,-124.301372
0626-QXNGV,Arcata,95521,19596,40.839958,-124.003757
0628-CNQRM,Temecula,92592,46171,33.507255,-117.029473
0634-SZPQA,San Anselmo,94960,16849,37.99272,-122.575026
0635-WKOLD,Ceres,95307,32881,37.553469,-120.952825
0637-KVDLV,Elk Grove,95758,47065,38.35363,-121.44195
0637-UBJRP,Wilton,95693,5889,38.392559,-121.225093
0637-YLETY,Douglas City,96024,960,40.586588,-122.903677
0639-TSIQW,White Water,92282,805,33.972293,-116.654195
0640-YJTPY,Smartville,95977,963,39.176595,-121.291692
