customer_id,satisfaction_score,cltv,customer_status,churn_label,churn_category,churn_group,razon_abandono
0082-LDZUE,5,4427,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0082-OQIQY,5,4561,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0083-PIVIK,3,4761,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0089-IIQKO,3,4447,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0093-EXYQL,3,5742,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0093-XWZFY,1,2832,Churned,Yes,Competitor,"[90, 100)",Competitor had better devices
0094-OIFMO,1,5980,Churned,Yes,Dissatisfaction,"[80, 90)",Product dissatisfaction
0096-BXERS,3,3442,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0096-FCPUF,3,5039,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0098-BOWSO,5,3792,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0100-DUVFC,5,5291,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0103-CSITQ,5,6026,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0104-PPXDV,5,5232,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0106-GHRQR,5,3360,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0106-UGRDO,3,4216,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0107-WESLM,2,3874,Churned,Yes,Attitude,"[60, 70)",Attitude of support person
0107-YHINA,1,4214,Churned,Yes,Competitor,"[90, 100)",Competitor had better devices
0111-KLBQG,5,2844,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0112-QAWRZ,3,5560,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0112-QWPNC,2,6452,Churned,Yes,Competitor,"[70, 80)",Competitor offered higher download speeds
0114-IGABW,5,5224,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0114-PEGZZ,3,4800,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0114-RSRRW,4,3831,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0115-TFERT,3,4123,Churned,Yes,Attitude,"[80, 90)",Attitude of service provider
0117-LFRMW,2,3627,Churned,Yes,Competitor,"[80, 90)",Competitor offered more data
0118-JPNOY,3,5700,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0121-SNYRK,3,5052,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0122-OAHPZ,3,2473,Churned,Yes,Competitor,"[60, 70)",Competitor made better offer
0123-CRBRT,4,5152,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0125-LZQXK,2,3025,Churned,Yes,Attitude,"[90, 100)",Attitude of service provider
0128-MKWSG,4,3287,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0129-KPTWJ,3,5943,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0129-QMPDR,3,3093,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0130-SXOUN,3,4889,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0133-BMFZO,2,3529,Churned,Yes,Competitor,"[90, 100)",Competitor offered higher download speeds
0134-XWXCE,5,3253,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0135-NMXAP,3,5671,Churned,Yes,Attitude,"[90, 100)",Attitude of support person
0136-IFMYD,5,4297,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0137-OCGAB,3,3056,Churned,Yes,Price,"[90, 100)",Lack of affordable download/upload speed
0137-UDEUO,1,3398,Churned,Yes,Price,"[90, 100)",Long distance charges
0139-IVFJG,3,5361,Joined,No,Not Applicable,"[20, 30)",Attitude of service provider
0141-YEAYS,4,5990,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0142-GVYSN,5,5712,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0147-ESWWR,4,3172,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0148-DCDOS,1,5641,Churned,Yes,Competitor,"[80, 90)",Competitor had better devices
0151-ONTOV,1,4739,Churned,Yes,Competitor,"[70, 80)",Competitor had better devices
0156-FVPTA,2,5102,Churned,Yes,Attitude,"[80, 90)",Attitude of service provider
0164-APGRB,4,4589,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0164-XAIRP,5,2511,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0168-XZKBB,5,5072,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0174-QRVVY,5,5747,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0177-PXBAT,3,5655,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0178-CIIKR,3,5949,Joined,No,Not Applicable,"[70, 80)",Competitor made better offer
0178-SZBHO,3,3760,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0181-RITDD,4,5298,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0186-CAERR,4,4644,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0187-QSXOE,4,5711,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0187-WZNAB,3,4331,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0188-GWFLE,3,4978,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0191-EQUUH,4,2754,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0191-ZHSKZ,4,3033,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0193-ESZXP,1,5067,Churned,Yes,Attitude,"[90, 100)",Attitude of support person
0195-IESCP,3,3573,Churned,Yes,Competitor,"[70, 80)",Competitor offered more data
0196-JTUQI,5,5841,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0196-VULGZ,3,5721,Churned,Yes,Other,"[70, 80)",Deceased
0197-PNKNK,3,5629,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0201-MIBOL,3,4861,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0201-OAMXR,1,4838,Churned,Yes,Dissatisfaction,"[80, 90)",Network reliability
0203-HHYIJ,3,3779,Churned,Yes,Price,"[70, 80)",Long distance charges
0206-OYVOC,5,5596,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0206-TBWLC,4,4488,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0207-MDKNV,1,2122,Churned,Yes,Competitor,"[80, 90)",Competitor made better offer
0208-BPQEJ,3,3713,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0212-ISBBF,3,2875,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0214-JHPFW,4,5640,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0215-BQKGS,4,5393,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0218-QNVAS,5,5876,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0219-QAERP,5,4006,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0219-YTZUE,3,4939,Churned,Yes,Competitor,"[70, 80)",Competitor made better offer
0220-EBGCE,1,3273,Churned,Yes,Competitor,"[60, 70)",Competitor made better offer
0221-NAUXK,5,3044,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0221-WMXNQ,3,4033,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0222-CNVPT,3,4865,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0224-HJAPT,2,2857,Churned,Yes,Competitor,"[80, 90)",Competitor made better offer
0224-NIJLP,4,3899,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0224-RLWWD,3,3805,Joined,No,Not Applicable,"[40, 50)",Attitude of service provider
0225-ZORZP,5,5828,Joined,No,Not Applicable,"[40, 50)",Attitude of service provider
0228-MAUWC,4,3949,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0229-LFJAF,5,4262,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0230-UBYPQ,3,5089,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0230-WEQUW,4,5500,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0231-LXVAP,3,3389,Churned,Yes,Competitor,"[60, 70)",Competitor made better offer
0233-FTHAV,3,5687,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0234-TEVTT,3,5269,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0235-KGSLC,2,3967,Churned,Yes,Other,"[80, 90)",Moved
0236-HFWSV,1,5264,Churned,Yes,Competitor,"[70, 80)",Competitor had better devices
0237-YFUTL,3,4676,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0238-WHBIQ,3,4193,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0239-OXEXL,4,3509,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0244-LGNFY,4,6342,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0247-SLUJI,5,2004,Joined,No,Not Applicable,"[40, 50)",Attitude of service provider
0248-IPDFW,4,5617,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0248-PGHBZ,4,5857,Stayed,No,Not Applicable,"[80, 90)",Competitor had better devices
0253-ZTEOB,4,3246,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0254-FNMCI,4,5234,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0254-KCJGT,4,4628,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0254-WWRKD,5,5122,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0256-LTHVJ,1,5201,Churned,Yes,Competitor,"[90, 100)",Competitor had better devices
0257-KXZGU,3,5442,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0257-ZESQC,1,4517,Churned,Yes,Attitude,"[90, 100)",Attitude of support person
0258-NOKBL,5,5625,Joined,No,Not Applicable,"[60, 70)",Competitor had better devices
0259-GBZSH,1,3878,Churned,Yes,Competitor,"[70, 80)",Competitor made better offer
0260-ZDLGK,1,3585,Churned,Yes,Competitor,"[60, 70)",Competitor made better offer
0263-FJTQO,4,4022,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0264-CNITK,3,5043,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0265-EDXBD,2,4105,Churned,Yes,Attitude,"[60, 70)",Attitude of support person
0265-PSUAE,4,3337,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0266-CLZKZ,5,6383,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0266-GMEAO,3,5879,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0268-QKIWO,3,2647,Churned,Yes,Attitude,"[80, 90)",Attitude of support person
0269-XFESX,5,4031,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0270-THENM,3,6233,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0274-JKUJR,3,3332,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0277-BKSQP,4,4854,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0277-ORXQS,4,4652,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0278-YXOOG,3,2604,Churned,Yes,Attitude,"[60, 70)",Attitude of support person
0280-XJGEX,1,5340,Churned,Yes,Competitor,"[80, 90)",Competitor had better devices
0281-CNTZX,3,5151,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0282-NVSJS,4,3353,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0285-INHLN,3,3519,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0289-IVARM,4,3463,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0292-WEGCH,3,6275,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0295-PPHDO,1,5962,Churned,Yes,Competitor,"[70, 80)",Competitor had better devices
0295-QVKPB,4,3099,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0297-RBCSG,4,2051,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0298-XACET,4,5396,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0301-FIDRB,4,6107,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0301-KOBTQ,5,3398,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0302-JOIVN,2,2750,Churned,Yes,Competitor,"[70, 80)",Competitor made better offer
0303-UNCIP,4,5043,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0303-WMMRN,3,3056,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0305-SQECB,4,4265,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0306-JAELE,1,4192,Churned,Yes,Competitor,"[60, 70)",Competitor made better offer
0307-BCOPK,5,4336,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0308-GIQJT,4,4921,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0308-IVGOK,5,2133,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0310-MVLET,3,5612,Churned,Yes,Dissatisfaction,"[70, 80)",Service dissatisfaction
0310-SUCIN,3,5643,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0310-VQXAM,3,2788,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0311-QYWSS,3,3672,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0311-UNPFF,2,4910,Churned,Yes,Dissatisfaction,"[80, 90)",Service dissatisfaction
0314-TKOSI,4,5377,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0315-LVCRK,4,4924,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0318-QUUOB,1,4273,Churned,Yes,Competitor,"[90, 100)",Competitor had better devices
0318-ZOPWS,5,5422,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0319-QZTCO,3,3654,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0320-DWVTU,3,4754,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0320-JDNQG,1,3425,Churned,Yes,Other,"[80, 90)",Don't know
0322-CHQRU,1,3478,Churned,Yes,Competitor,"[80, 90)",Competitor had better devices
0322-YINQP,1,5687,Churned,Yes,Attitude,"[70, 80)",Attitude of support person
0323-XWWTN,5,4315,Joined,No,Not Applicable,"[70, 80)",Competitor made better offer
0324-BRPCJ,1,4481,Churned,Yes,Competitor,"[70, 80)",Competitor offered more data
0325-XBFAC,1,5811,Churned,Yes,Competitor,"[90, 100)",Competitor offered more data
0326-VDYXE,4,4252,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0327-WFZSY,3,5434,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0328-GRPMV,1,3706,Churned,Yes,Competitor,"[80, 90)",Competitor had better devices
0329-GTIAJ,3,4330,Churned,Yes,Price,"[80, 90)",Price too high
0330-BGYZE,5,4968,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0330-IVZHA,2,2969,Churned,Yes,Attitude,"[80, 90)",Attitude of service provider
0334-GDDSO,1,2818,Churned,Yes,Competitor,"[70, 80)",Competitor made better offer
0334-ZFJSR,4,5501,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0336-KXKFK,3,4085,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0336-PIKEI,4,5590,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0337-CNPZE,2,5383,Churned,Yes,Price,"[80, 90)",Price too high
0343-QLUZP,3,5544,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0345-HKJVM,1,5800,Churned,Yes,Other,"[90, 100)",Don't know
0345-XMMUG,5,5119,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0347-UBKUZ,4,3366,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0348-SDKOL,2,4415,Churned,Yes,Competitor,"[90, 100)",Competitor made better offer
0354-VXMJC,5,4617,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0354-WYROK,2,4050,Churned,Yes,Other,"[90, 100)",Don't know
0356-ERHVT,5,3880,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0356-OBMAC,3,5840,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0357-NVCRI,5,2192,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0361-HJRDX,3,4146,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0362-RAOQO,4,3878,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0362-ZBZWJ,1,2455,Churned,Yes,Attitude,"[60, 70)",Attitude of service provider
0363-QJVFX,1,2541,Churned,Yes,Attitude,"[60, 70)",Attitude of service provider
0363-SVHYR,4,6452,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0365-BZUWY,5,3803,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0365-GXEZS,5,2831,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0365-TRTPY,3,5135,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0366-NQSHS,3,5863,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0369-ZGOVK,3,5195,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0373-AIVNJ,3,3755,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0374-AACSZ,3,4421,Joined,No,Not Applicable,"[30, 40)",Attitude of service provider
0374-FIUCA,3,5368,Stayed,No,Not Applicable,"[80, 90)",Competitor had better devices
0374-IOEGQ,4,3122,Joined,No,Not Applicable,"[70, 80)",Competitor made better offer
0375-HVGXO,3,4476,Churned,Yes,Other,"[80, 90)",Don't know
0376-OIWME,4,2701,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0376-YMCJC,2,4359,Churned,Yes,Competitor,"[80, 90)",Competitor offered higher download speeds
0377-JBKKT,3,5036,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0378-CJKPV,4,4272,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0378-NHQXU,2,4041,Churned,Yes,Other,"[60, 70)",Deceased
0378-TOVMS,1,5641,Churned,Yes,Competitor,"[80, 90)",Competitor had better devices
0378-XSZPU,2,4026,Churned,Yes,Dissatisfaction,"[80, 90)",Network reliability
0379-DJQHR,3,4219,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0380-NEAVX,5,5626,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0380-ZCSBI,5,2411,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0383-CLDDA,3,6499,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0384-LPITE,3,2290,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0384-RVBPI,3,2120,Stayed,No,Not Applicable,"[80, 90)",Competitor had better devices
0386-CWRGM,4,2320,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0388-EOPEX,1,4263,Churned,Yes,Attitude,"[70, 80)",Attitude of support person
0390-DCFDQ,2,3964,Churned,Yes,Other,"[70, 80)",Don't know
0392-BZIUW,3,5678,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0394-YONDK,3,5114,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0396-HUJBP,3,3009,Joined,No,Not Applicable,"[40, 50)",Attitude of service provider
0396-UKGAI,4,4028,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0396-YCHWO,3,5111,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0397-GZBBC,2,5390,Churned,Yes,Price,"[80, 90)",Price too high
0397-ZXWQF,5,4416,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0401-WDBXM,3,4331,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0402-CQAJN,3,4437,Churned,Yes,Dissatisfaction,"[80, 90)",Lack of self-service on Website
0402-OAMEN,3,5335,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0404-AHASP,3,6436,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0404-SWRVG,1,4415,Churned,Yes,Dissatisfaction,"[70, 80)",Product dissatisfaction
0406-BPDVR,2,6405,Churned,Yes,Price,"[60, 70)",Lack of affordable download/upload speed
0407-BDJKB,2,4129,Churned,Yes,Dissatisfaction,"[80, 90)",Service dissatisfaction
0409-WTMPL,3,4761,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0410-IPFTY,3,4283,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0411-EZJZE,4,4830,Joined,No,Not Applicable,"[30, 40)",Attitude of service provider
0412-UCCNP,3,5162,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0415-MOSGF,2,3204,Churned,Yes,Attitude,"[70, 80)",Attitude of support person
0419-YAAPX,4,4696,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0420-BWTPW,2,5578,Churned,Yes,Attitude,"[70, 80)",Attitude of support person
0420-HLGXF,3,3860,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0420-TXVSG,3,5933,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0422-OHQHQ,5,3009,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0422-UXFAP,5,6034,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0423-UDIJQ,4,2145,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0426-TIRNE,3,5527,Churned,Yes,Dissatisfaction,"[90, 100)",Limited range of services
0428-AXXLJ,4,4761,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0428-IKYCP,4,5233,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0430-IHCDJ,3,2597,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0431-APWVY,3,5958,Churned,Yes,Other,"[90, 100)",Poor expertise of online support
0432-CAJZV,4,3953,Joined,No,Not Applicable,"[60, 70)",Competitor had better devices
0434-CSFON,3,4488,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0436-TWFFZ,4,6322,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0439-IFYUN,4,3896,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0440-EKDCF,5,4404,Stayed,No,Not Applicable,"[80, 90)",Competitor had better devices
0440-MOGPM,3,4176,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0440-QEXBZ,3,5790,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0440-UEDAI,4,5452,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0442-TDYUO,3,2964,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0442-ZXKVS,3,4337,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0447-BEMNG,1,4926,Churned,Yes,Price,"[60, 70)",Price too high
0447-RXSGD,3,5207,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0454-OKRCT,4,5542,Stayed,No,Not Applicable,"[80, 90)",Competitor had better devices
0455-ENTCR,4,5012,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0455-XFASS,3,5998,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0458-HEUZG,3,3239,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0459-SPZHJ,4,4652,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0461-CVKMU,1,5737,Churned,Yes,Attitude,"[80, 90)",Attitude of support person
